title,country,date,points,link,img
Tower Heist,world,2021-01-12,151,https://flixpatrol.com/title/tower-heist/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/ze2trl2nhulolimimvbkjjid3yg.jpg
Death to 2020,world,2021-01-12,138,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Turbo,world,2021-01-12,115,https://flixpatrol.com/title/turbo/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kajplpugobxci8me5oqvzjn430q.jpg
The Grinch,world,2021-01-12,110,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
The Emoji Movie,world,2021-01-12,108,https://flixpatrol.com/title/the-emoji-movie/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/fvr5etd00qupul0yctvfz8msjca.jpg
Mr. Peabody & Sherman,world,2021-01-12,100,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
365 Days,world,2021-01-12,94,https://flixpatrol.com/title/365-days/,https://flixpatrol.com/runtime/cache/files/posters/i/w72/im0jkivtvyxynkvnzoyd6efbqye.jpg
We Can Be Heroes,world,2021-01-13,638,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Pieces of a Woman,world,2021-01-13,548,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
Tower Heist,world,2021-01-13,177,https://flixpatrol.com/title/tower-heist/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/ze2trl2nhulolimimvbkjjid3yg.jpg
Room,world,2021-01-13,162,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
Split,world,2021-01-13,150,https://flixpatrol.com/title/split-2017/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rxmwozict6emx22jwutosdq98by.jpg
Turbo,world,2021-01-13,133,https://flixpatrol.com/title/turbo/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kajplpugobxci8me5oqvzjn430q.jpg
Death to 2020,world,2021-01-13,108,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
365 Days,world,2021-01-13,106,https://flixpatrol.com/title/365-days/,https://flixpatrol.com/runtime/cache/files/posters/i/w72/im0jkivtvyxynkvnzoyd6efbqye.jpg
The Emoji Movie,world,2021-01-13,103,https://flixpatrol.com/title/the-emoji-movie/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/fvr5etd00qupul0yctvfz8msjca.jpg
The Grinch,world,2021-01-13,99,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
We Can Be Heroes,world,2021-01-14,659,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Pieces of a Woman,world,2021-01-14,497,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
Tower Heist,world,2021-01-14,175,https://flixpatrol.com/title/tower-heist/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/ze2trl2nhulolimimvbkjjid3yg.jpg
Room,world,2021-01-14,166,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
Split,world,2021-01-14,158,https://flixpatrol.com/title/split-2017/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rxmwozict6emx22jwutosdq98by.jpg
Turbo,world,2021-01-14,134,https://flixpatrol.com/title/turbo/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kajplpugobxci8me5oqvzjn430q.jpg
365 Days,world,2021-01-14,122,https://flixpatrol.com/title/365-days/,https://flixpatrol.com/runtime/cache/files/posters/i/w72/im0jkivtvyxynkvnzoyd6efbqye.jpg
The Adventures of Sharkboy and Lavagirl,world,2021-01-14,105,https://flixpatrol.com/title/the-adventures-of-sharkboy-and-lavagirl/,https://flixpatrol.com/runtime/cache/files/posters/a/w72/ai5o9rm0x4trfsutvvox9bpvmo0.jpg
The Emoji Movie,world,2021-01-14,96,https://flixpatrol.com/title/the-emoji-movie/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/fvr5etd00qupul0yctvfz8msjca.jpg
The Grinch,world,2021-01-14,95,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
We Can Be Heroes,world,2021-01-15,666,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Pieces of a Woman,world,2021-01-15,446,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
Tower Heist,world,2021-01-15,181,https://flixpatrol.com/title/tower-heist/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/ze2trl2nhulolimimvbkjjid3yg.jpg
Split,world,2021-01-15,179,https://flixpatrol.com/title/split-2017/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rxmwozict6emx22jwutosdq98by.jpg
